fund_id,fund_name,manager_name,fund_size,fund_size_numeric,fund_size_currency,vintage_year,fundraising_year,fundraising_status,timeline_bucket,strategy,sub_strategy,geography,region,sector_focus,source_name,source_file,source_page,raw_text,data_quality_flag,created_at,clean_fund_name,clean_manager_name,include_in_main_dashboard,exclude_reason,cleaning_method,cleaned_quality_flag,original_fund_name,original_manager_name,fund_size_display,fund_size_millions,size_quality_flag,source_verification_status,source_verification_score,source_verification_notes,fund_name_repair_note,fund_name_quality_flag,manager_name_repair_note,manager_name_quality_flag,fundraising_status_fill_method,fundraising_status_method,fundraising_status_source_text
628e694ae0b56ec8,Hg Saturn 4,Hg Saturn 4,$12.0bn*,12000.0,USD,2026.0,2026.0,held_close,2026,buyout,,europe,,,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,54.0,Hg Saturn 4 $12.0bn* Held Close,clean_extraction,2026-06-10T16:23:56,Hg Saturn 4,Hg Saturn 4,True,,no_repeated_manager_pattern,clean_main_dashboard_row,Hg Saturn 4,Hg Saturn 4,$12.0bn,12000.0,Large fund — check source,Verified from source,100,Fund name found on source page; Manager name found; Size matched: $12.0bn,,Needs review — fund equals manager,,Manager name OK,kept_existing_status,found_status_near_fund_on_source_page,"53 Pan European Mega Cap Buyout Funds Source: Preqin, UBS projections for fund sizes Notes: Projections based on UBS estimates, % of capital called * Represents target fund size for funds currently / expected to be in the market Bolded names indicate current UBS mandates Fund Size Status/Vintage 2026 2027 and Beyond Nordic Capital Fund XII €10.0bn* Held Close Advent International GPE XI $26.0bn* Held Close Permira IX €17.0bn* Held Close Hg Saturn 4 $12.0bn* Held Close ICG Europe Fund IX €10.0bn* Held Close Carlyle Europe Partners VI €7.5bn* Held Close EQT XI €23.0bn* Raising Hg Genesis 11 €7.5bn* Raising Apax Partners XII $12.0bn* 2026 PAI Partners IX €8.0bn* 2026 Vitruvian Investment Partners VI €8.0bn* 2026 KKR Europe Fund VI $7.3bn 2022 CVC Capital Partners IX €26.8bn 2023 Bridgepoint Europe VII €7.0bn 2024 Cinven VIII €13.3bn 2024 Confirmed in market Projected"
f4921acfc852347e,Igneo Global Diversified Infrastructure Fund,Igneo Global Diversified Infrastructure Fund,$10.0bn,10000.0,USD,2026.0,2026.0,confirmed_in_market,2026,,infrastructure,global,,infrastructure,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,77.0,Igneo Global Diversified Infrastructure Fund $10.0bn Open Ended,clean_extraction,2026-06-10T16:23:56,Igneo Global Diversified Infrastructure Fund,Igneo Global Diversified Infrastructure Fund,True,,no_repeated_manager_pattern,clean_main_dashboard_row,Igneo Global Diversified Infrastructure Fund,Igneo Global Diversified Infrastructure Fund,$10.0bn,10000.0,Large fund — check source,Verified from source,100,Fund name found on source page; Manager name found; Size matched: $10.0bn,,Needs review — fund equals manager,,Manager name OK,timeline_bucket_2026,found_status_near_fund_on_source_page,"76 Infrastructure—Generalist (Core) Cont. Source: Preqin, UBS projections for fund sizes Notes: * Represents target fund size for funds currently in the market Bolded names indicate current UBS mandates Fund Size Status/Vintage 2026 2027 and Beyond IFM Global Infrastructure $57.2bn Open Ended Blackstone Infrastructure Partners $48.6bn Open Ended JP Morgan Infrastructure Investments $38.4bn Open Ended KKR Diversified Core Infrastructure Fund $10.2bn Open Ended Igneo Global Diversified Infrastructure Fund $10.0bn Open Ended Brookfield Super-Core Infrastructure Partners $10.0bn Open Ended Stonepeak Core Fund $5.0bn Open Ended The Morrison & Co Infrastructure Partnership $3.0bn Open Ended Harrison Street Infrastructure Fund $2.5bn Open Ended Fiera EagleCrest Infrastructure $2.2bn Open Ended EQT Active Core Infrastructure II TBC Open Ended Confirmed in market Projected"
84be3df57af74b37,Dawson Portfolio Finance 6,Dawson Portfolio Finance 6,"$7,700",7700.0,USD,2026.0,2026.0,expected_2026,2026,buyout,secondaries,europe,,,Jefferies PFA,Jefferies PFA European Private Equity Market Maps (February 2026).pdf,14.0,"Dawson Portfolio Finance 6, $7,700",clean_extraction,2026-06-10T16:23:55,Dawson Portfolio Finance 6,Dawson Portfolio Finance 6,True,,no_repeated_manager_pattern,clean_main_dashboard_row,Dawson Portfolio Finance 6,Dawson Portfolio Finance 6,$7.7bn,7700.0,Normal size,Likely verified,70,Fund name found on source page; Manager name found; Size not clearly found,,Needs review — fund equals manager,,Manager name OK,timeline_bucket_2026,fallback_from_timeline_bucket,"Global Secondary Funds ($250m+) 14 Sources: Preqin or publicly-available data, as applicable, and Jefferies PFA market knowledge. Data in millions as of February 2026. Subject to change. Years represent vintages. Statistics based on funds shown on map. (*) Prior fund size shown where target size not available. (**) Target size, final size unknown. Belnord I, €265 Coller Credit II, $6,800 Hollyport IX, $4,300 HarbourVest Structured Secondaries 2025 , $1,100 Banner Ridge VI, $4,200 Stafford Infra V, $1,100 Ares Secondaries Infra III, $3,300 RCP V, $1,260 JP Morgan PEG III, $810 Ashbridge II (MS), $2,500 ARCIS ESD VI , $220 Greenspring V, $2,600 Landmark XVII, $2,400 Vintage Investment Partners V, $312 Capital Dynamics VI, $1,100 StepStone Opps V, $4,800 Ardian ASF IX, $30,000 Headway Partners V, $544 Glouston VII, $514 Manulife Strategic, $610 Pantheon Senior Debt II, $834 Oddo BHF II, $775 Apollo S3 I, $2,500 GCM Secondary III, $972 ICG Strat. Equity V, $11,000 Willowridge Amberbrook IX, $900 Commonfund Secondary IV, $1,100 Dawson Portfolio Finance 6, $7,700 Ares Credit I, $4,000 BlackRock S&L II, $3,100 Stafford Timber X, $1,040 Pantheon Secondaries Opps II, $1,100 Neuberger Berman Strategic Capital II , $4,000 AlpInvest VIII, $15,000 Cubera X, €803 Hamilton Lane VI, $5,600 Strategic Partners X, $22,000 Auda VI*, $340 Arctos Keystone, $4,000 ICG LP Secondaries II*, $1,000 CVC (Glendower) VI, $7,000 CASH Capital (Beijing), $2,757 Clipway, $3,000 Allianz Private Debt II*, €1,500 A&M I, $500 Golding III, €750 Eurazeo V, $1,635 Pantheon VIII*, $3,250 Auldbrass IV, $350 Pantheon Credit Opps III, $750 Pathway Select II, $300 Northleaf IV*, $1,300 Keyhaven IV*, $281 Kline Hill V, $2,300 Lexington CIP VI, $4,000 Apogem VII, $1,300 LSV VII, $1,750 Newbury VI, $2,500 Patria V, $500 Partners Group VIII, $6,000 New 2nd IV*, $875 Fortress Credit VI, $8,000 HarbourVest Infra Opps III, $1,000 Sweetwater IV, $650 Netley I, $600 Audax Strategic Capital I, $600 Hayfin PES III, $820 StepStone Infra, $750 Blue Owl Dyal VI, $13,000 Neuberger Berman VI, $5,000 Kline Hill Solutions II, $500 Lexington XI*, $22,700 PineBridge VI*, $429 Pomona XI, $3,500 Portfolio Advisors V, $3,500 Adams Street Secondary 8, $2,000 Altamar Secondaries VI, €1,700 TPG GP Solutions II*, $1,860 Goldman Vintage Infra II*, $1,000 Dover Street XII, $20,000 Goldman Vintage X, $14,200 Committed Advisors V, $2,820 BEX V, $765 LGT Crown Global Secondaries VI, $7,000 Jasper Ridge Nova IV, $635 Galdana**, $1,600 Five Arrows VI, €2,000 Unigestion Secondary VI, €1,700 Coller IX, $12,500 Arcano V, €850 Leonard Green Sage I , $3,600 Pinegrove I, $2,200 Timber Bay III, $281 Blue Owl Strategic Equity, $3,000 Montana VI, $1,400 $0 $500 $1,000 $1,500 $2,000 $2,500 $3,000 $3,500 $4,000 $3bn+ 2022 2021 2023 2024 Pre - 2020 2020 2025 2026 In Market"
7a9b67ccfbbe02d9,Hg Genesis 11,Hg Genesis 11,€7.5bn*,7500.0,EUR,2026.0,2026.0,held_close,2026,buyout,,europe,,,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,54.0,Hg Genesis 11 €7.5bn* Raising,clean_extraction,2026-06-10T16:23:56,Hg Genesis 11,Hg Genesis 11,True,,no_repeated_manager_pattern,clean_main_dashboard_row,Hg Genesis 11,Hg Genesis 11,€7.5bn,7500.0,Normal size,Verified from source,100,Fund name found on source page; Manager name found; Size matched: €7.5bn,,Needs review — fund equals manager,,Manager name OK,kept_existing_status,found_status_near_fund_on_source_page,"53 Pan European Mega Cap Buyout Funds Source: Preqin, UBS projections for fund sizes Notes: Projections based on UBS estimates, % of capital called * Represents target fund size for funds currently / expected to be in the market Bolded names indicate current UBS mandates Fund Size Status/Vintage 2026 2027 and Beyond Nordic Capital Fund XII €10.0bn* Held Close Advent International GPE XI $26.0bn* Held Close Permira IX €17.0bn* Held Close Hg Saturn 4 $12.0bn* Held Close ICG Europe Fund IX €10.0bn* Held Close Carlyle Europe Partners VI €7.5bn* Held Close EQT XI €23.0bn* Raising Hg Genesis 11 €7.5bn* Raising Apax Partners XII $12.0bn* 2026 PAI Partners IX €8.0bn* 2026 Vitruvian Investment Partners VI €8.0bn* 2026 KKR Europe Fund VI $7.3bn 2022 CVC Capital Partners IX €26.8bn 2023 Bridgepoint Europe VII €7.0bn 2024 Cinven VIII €13.3bn 2024 Confirmed in market Projected"
a7fe95e17c460e88,Actis Energy 6,Actis Energy 6,"$6,000*",6000.0,USD,2024.0,2024.0,unknown,2024,growth,energy,europe,,energy,Evercore PFG,Evercore PFG - Global Renewable Energy - H1 2026.pdf,5.0,"Actis Energy 6 ($6,000*)",clean_extraction,2026-06-10T16:23:43,Actis Energy 6,Actis Energy 6,True,,no_repeated_manager_pattern,clean_main_dashboard_row,Actis Energy 6 (,Actis Energy 6 (,$6.0bn,6000.0,Normal size,Verified from source,100,"Fund name found on source page; Manager name found; Size matched: $6,000m",,Needs review — fund equals manager,,Manager name OK,no_status_found,no_status_found,"4 Fund Size Based on Preqin and Evercore PFG market intelligence. Includes Global Renewable Energy Funds with vintages from 2024 to 2025. All fund sizes are in millions. 1 BNP Paribas Low Carbon Transition Infra Equity Fund I 2 Swiss Life Funds (LUX) Global Infrastructure Opportunities II * Denotes target fund size. ** Denotes prior vintage/fund size. Global Renewable Energy Market Map (Cont’d) 2025 2024 $600m $1200m $300m $6,000m $900m $1500m KGAL ESPF 8 (€500*) Haddington ESP I ($650*) True Green Capital Fund V ($661**) Quinbrook Renewables Impact Fund II (£500*) Aquila Capital Energy Transition Fund I (€600*) Value Add Transition Infrastructure Strategy III (€1,000*) Pioneer Infrastructure Partners II (€1,100) Encavis Infrastructure Fund V (€1,200*) CEE Renewable Fund 9 (€1,600) AIP V (€3,000*) Stonepeak Global Renewables Fund II ($5,000*) Actis Energy 6 ($6,000*) DIF Infrastructure VIII (€6,000*) Conquest Infrastructure Sustainable 2 (€250*) Regenerative Energien 1 (€509) Sustainable Australian Real Assets Fund (AUD1,000*) Captona Renewable Energy Fund II ($750*) Climate Adaptive Infrastructure Fund II ($825**) BNP Paribas Carbon Fund I (€750*)1 ASR Dutch Green Energy Fund I (€800*) Arroyo Energy Investors Fund IV ($1,000) Swiss Life Infrastructure Opportunities Growth II (€1,000*)2 EIG Energy Transition Fund II (€1,000*) Storebrand Infrastructure Fund II (€1,000**) ISQ Growth Markets Climate Impact Fund ($1,200) Neos Partners II ($1,400) Foresight Energy Infrastructure Partners II (€1,250*) Hull Street Energy Partners III ($2,200) Apollo Infrastructure Opportunities Fund III ($2,400) Sustainable Asset Fund IV ($2,400) ISQ Energy Transition Fund ($2,500*) Mirova Energy Transition 6 (€2,200*) Catalytic Transition Fund ($5,000*) KKR Global Climate Fund ($7,000*) TPG Rise Climate II ($8,000*) InfraVia European Fund VI (€7,000*) Ardian Infrastructure Fund VI (€11,500) Brookfield Global Transition Fund 2 ($20,000) Quinbrook III ($4,000*) Octopus Energy Offshore Wind Fund (Vector) (£3,000*) CarbonCount Holdings 1 ($2,000)"
0c6a9be06d1315ff,Triton Fund 6,Triton Fund 6,€5.5bn,5500.0,EUR,2027.0,2027.0,held_close,2027_and_beyond,buyout,tmt,europe,,tmt,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,55.0,Fund Size | Status/Vintage | 2026 | 2027 and Beyond | Triton Fund 6 | €5.5bn* | Held Close | CapVest Fund VI | €3.9bn* | Held Close | BC Partners Fund XII,clean_extraction,2026-06-10T16:23:56,Triton Fund 6,Triton Fund 6,True,,no_repeated_manager_pattern,clean_main_dashboard_row,Triton Fund 6,Triton Fund 6,€5.5bn,5500.0,Normal size,Verified from source,100,Fund name found on source page; Manager name found; Size matched: €5.5bn,,Needs review — fund equals manager,,Manager name OK,kept_existing_status,found_status_near_fund_on_source_page,"54 Pan European Large Cap Buyout Funds Source: Preqin, UBS projections for fund sizes Notes: Projections based on UBS estimates, % of capital called * Represents target fund size for funds currently / expected to be in the market Bolded names indicate current UBS mandates Fund Size Status/Vintage 2026 2027 and Beyond Triton Fund 6 €5.5bn* Held Close CapVest Fund VI €3.9bn* Held Close BC Partners Fund XII $5.2bn* Held Close Montagu VII €3.5bn* Held Close Keensight Nova VII €3.0bn* Held Close Med – Platform III €5.0bn* Raising Astorg IX €4.5bn* Raising Waterland Private Equity Fund X €4.0bn* Raising Inflexion Buyout Fund VII €3.5bn* Raising Five Arrows Principal Investments V €3.5bn* Raising PSG Europe III €3.3bn* Raising Ardian Buyout VII €6.5bn 2019 Bain Capital Europe VI €6.4bn 2023 TDR Capital V €4.3bn 2023 Carlyle Europe Technology Partners V €3.1bn 2023 EMK Capital Partners III €3.0bn 2023 TowerBrook Investors VI $4.1bn 2024 Oakley Capital VI €4.5bn 2025 Investindustrial VIII €4.0bn 2025 IK X Fund €3.3bn 2025 Ardian Expansion Fund VI €3.2bn 2025 Eurazeo Capital V €3.0bn 2025 Bridgepoint Development Capital V £2.8bn 2025 Confirmed in market Projected"
b3fee0e99825a33f,Stonepeak Core Fund,Stonepeak Core Fund,$5.0bn,5000.0,USD,2026.0,2026.0,confirmed_in_market,2026,,infrastructure,global,,infrastructure,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,77.0,Stonepeak Core Fund $5.0bn Open Ended,clean_extraction,2026-06-10T16:23:56,Stonepeak Core Fund,Stonepeak Core Fund,True,,no_repeated_manager_pattern,clean_main_dashboard_row,Stonepeak Core Fund,Stonepeak Core Fund,$5.0bn,5000.0,Normal size,Verified from source,100,Fund name found on source page; Manager name found; Size matched: $5.0bn,,Needs review — fund equals manager,,Manager name OK,timeline_bucket_2026,found_status_near_fund_on_source_page,"76 Infrastructure—Generalist (Core) Cont. Source: Preqin, UBS projections for fund sizes Notes: * Represents target fund size for funds currently in the market Bolded names indicate current UBS mandates Fund Size Status/Vintage 2026 2027 and Beyond IFM Global Infrastructure $57.2bn Open Ended Blackstone Infrastructure Partners $48.6bn Open Ended JP Morgan Infrastructure Investments $38.4bn Open Ended KKR Diversified Core Infrastructure Fund $10.2bn Open Ended Igneo Global Diversified Infrastructure Fund $10.0bn Open Ended Brookfield Super-Core Infrastructure Partners $10.0bn Open Ended Stonepeak Core Fund $5.0bn Open Ended The Morrison & Co Infrastructure Partnership $3.0bn Open Ended Harrison Street Infrastructure Fund $2.5bn Open Ended Fiera EagleCrest Infrastructure $2.2bn Open Ended EQT Active Core Infrastructure II TBC Open Ended Confirmed in market Projected"
ffa633cc0ed6fd05,Wren House Infrastructure LP,Wren House Infrastructure LP,$5.0bn,5000.0,USD,2021.0,2021.0,held_close,2021,,infrastructure,europe,,infrastructure,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,76.0,Wren House Infrastructure LP $5.0bn 2021,clean_extraction,2026-06-10T16:23:56,Wren House Infrastructure LP,Wren House Infrastructure LP,True,,no_repeated_manager_pattern,clean_main_dashboard_row,Wren House Infrastructure LP,Wren House Infrastructure LP,$5.0bn,5000.0,Normal size,Verified from source,100,Fund name found on source page; Manager name found; Size matched: $5.0bn,,Needs review — fund equals manager,,Manager name OK,no_status_found,found_status_near_fund_on_source_page,"75 Source: Preqin, UBS projections for fund sizes Notes: * Represents target fund size for funds currently in the market Bolded names indicate current UBS mandates Infrastructure—Generalist (Core) Fund Size Status/Vintage 2026 2027 and Beyond DIF Infrastructure VIII €6.0bn* Held Close Equitix Fund VII £1.5bn* Held Close Equitix European Infrastructure II €1.0bn* Held Close Global Infrastructure Partners Core Fund $5.0bn* Raising Vauban Core Infrastructure Fund V €2.5bn* Raising Swiss Life Funds (lux) Global Infrastructure Opportunities IV €2.5bn* Raising Arjun Infrastructure Alliance Europe 3 €2.5bn* Raising MEAG European Infrastructure I €600m* Raising RiverRock Brownfield Infrastructure Fund II €400m* Raising Macquarie Super Core Infrastructure Fund Series 3 TBC Raising Schroders Mid Infra Equity II €500m Announced Infranode II €1.2bn 2019 Reichmuth Infrastructure II CIP ₣320m 2019 Fondo ANIA F2i €516m 2020 Wren House Infrastructure LP $5.0bn 2021 Meridiam Infrastructure Europe IV €2.3bn 2021 Allianz European Infrastructure Equity Fund II €1.5bn 2022 Aberdeen Standard Core Infrastructure III €585m 2022 ACIF Infrastructure II €396m 2022 Federated Hermes Diversified Infrastructure Fund £1.4bn 2023 Confirmed in market Projected"
574b7f85946c4096,Stonepeak Opportunities Fund,Stonepeak Opportunities Fund,$3.2bn,3200.0,USD,2022.0,2022.0,confirmed_in_market,2022,,infrastructure,europe,,infrastructure,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,74.0,Stonepeak Opportunities Fund $3.2bn 2022,clean_extraction,2026-06-10T16:23:56,Stonepeak Opportunities Fund,Stonepeak Opportunities Fund,True,,no_repeated_manager_pattern,clean_main_dashboard_row,Stonepeak Opportunities Fund,Stonepeak Opportunities Fund,$3.2bn,3200.0,Normal size,Verified from source,100,Fund name found on source page; Manager name found; Size matched: $3.2bn,,Needs review — fund equals manager,,Manager name OK,no_status_found,found_status_near_fund_on_source_page,"73 Infrastructure—Generalist (Core+ & Value-Add) Cont. Source: Preqin, UBS projections for fund sizes Notes: * Represents target fund size for funds currently in the market Bolded names indicate current UBS mandates Fund Size Status/Vintage 2026 2027 and Beyond Union Investment Infrastructure Fund II €442m 2019 Alinda Infrastructure Fund IV $1.0bn 2020 West Street Infrastructure Partners IV $4.0bn 2021 Antin Infrastructure Mid Cap I €2.2bn 2021 Brookfield Infrastructure Fund V $28.0bn 2022 Macquarie European Infrastructure Fund VII €8.0bn 2022 Macquarie Infrastructure Partners VI $6.8bn 2022 North Haven Infrastructure Partners IV $4.1bn 2022 Stonepeak Opportunities Fund $3.2bn 2022 Basalt Infrastructure Partners IV $2.7bn 2022 Ancala Infrastructure Fund III €1.4bn 2022 Ara Infrastructure Fund I $500m 2022 CapMan Nordic Infrastructure II €375m 2022 Aberdeen Global Infrastructure Partners III $368m 2022 Antin Infrastructure Partners V €10.2bn 2022 Global Infrastructure Partners V $25.2bn 2023 EQT Infrastructure VI €21.5bn 2023 Northleaf Infrastructure Capital Partners IV $2.6bn 2023 Quaero European Infrastructure Fund III €1.4bn 2023 Marguerite III €700m 2023 Confirmed in market Projected"
33078c2cf1ec07f9,IFM Core Energy Transition Fund,IFM Core Energy Transition Fund,$3.0bn,3000.0,USD,2026.0,2026.0,evergreen,2026,,energy,europe,,energy,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,83.0,IFM Core Energy Transition Fund $3.0bn Open Ended,clean_extraction,2026-06-10T16:23:56,IFM Core Energy Transition Fund,IFM Core Energy Transition Fund,True,,no_repeated_manager_pattern,clean_main_dashboard_row,IFM Core Energy Transition Fund,IFM Core Energy Transition Fund,$3.0bn,3000.0,Normal size,Verified from source,100,Fund name found on source page; Manager name found; Size matched: $3.0bn,,Needs review — fund equals manager,,Manager name OK,timeline_bucket_2026,found_status_near_fund_on_source_page,"82 Source: Preqin, UBS projections for fund sizes Notes: * Represents target fund size for funds currently in the market Bolded names indicate current UBS mandates Infrastructure—Renewables and Energy Transition (Core) Cont. Fund Size Status/Vintage 2026 2027 and Beyond CR Institutional Infrastructure Multi-Asset Fund II €500m 2020 Helia Renovables IV €213m 2020 SWEN Impact Fund for Transition 2 €583m 2021 Impax New Energy Investors IV €459m 2021 Vortex Energy IV $400m 2021 Glenmont Clean Energy Fund Europe IV €2.0bn 2022 Demeter Climate Infrastructure Fund €250m 2022 Macquarie Green Energy Transition Solutions $2.4bn 2023 CMA CGM Pulse $1.5bn 2023 Prime Green Energy Infrastructure Fund II €1.0bn 2023 SDCL Green Energy Solutions Fund €650m 2023 L&G NTR Clean Power (Europe) Fund €584m 2023 Tages Helios Net Zero €554m 2023 ABN AMRO Sustainable Impact Fund €425m 2023 Quinbrook Infrastructure Partners III - Net Zero Power Fund $3.0bn 2024 IFM Core Energy Transition Fund $3.0bn Open Ended Ardian Clean Energy Evergreen Fund €1.0bn Open Ended HIH Green Energy Invest €750m Open Ended Confirmed in market Projected"
