fund_name,manager_name,fund_strategy,target_size_display,target_size_millions,currency,expected_quarter,expected_year,status,source_file,source_page,raw_line,quality_score,quality_reason
Truelink Fund II – Industrials & Tech Enables Services Lower Middle Market Buyout,,"buyout, industrial, real estate",,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,A3/C Partners I – European Tech Buyout Pennybacker Evergreen Partners – Core Plus NAM Real Estate | Truelink Fund II – Industrials & Tech Enables Services Lower Middle Market Buyout | Q1 | Q1,65,real fund name; expected quarter found; expected year found
Francisco Partners Flagship Fund VIII – Tech Buyout,,"buyout, credit, direct lending, growth, healthcare, industrial",,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,AKKR Credit III – NAM Tech Direct Lending Pennybacker / Maslow P3 Partners – Open- End Build-to-Core Student Housing Fund | Francisco Partners Flagship Fund VIII – Tech Buyout | Arsenal Fund VII – Industrial Growth & Healthcare Buyout,65,real fund name; expected quarter found; expected year found
Arclight Infra Partners VIII – Infrastructure Core Plus Permira Fund IX - Buyout,,"buyout, credit, infrastructure, opportunistic",,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,"Arclight Infra Partners VIII – Infrastructure Core Plus Permira Fund IX - Buyout | General Catalyst Flagship Fund XIII – Creation, Ignition, Endurance, Health Assurance | Francisco Partners Credit IV – Tech Opportunistic Credit",65,real fund name; expected quarter found; expected year found
Arctos Keystone I – GP Solutions Permira Fund I – Opportunistic Credit,,"buyout, credit, industrial, opportunistic",,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,Arctos Keystone I – GP Solutions Permira Fund I – Opportunistic Credit | Incline Flagship Fund VII – Industrials Middle Market Buyout,65,real fund name; expected quarter found; expected year found
Incline Elevate III – Industrials Lower Middle Market Buyout,,"buyout, industrial",,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,Incline Elevate III – Industrials Lower Middle Market Buyout,65,real fund name; expected quarter found; expected year found
STG Fund VIII – Enterprise Software Middle Market Tech Buyout,,"buyout, credit",,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,Arctos American Football Fund I – NFL Fund Permira Risk Retention Fund II | Littlejohn Opportunities III – Credit | STG Fund VIII – Enterprise Software Middle Market Tech Buyout,65,real fund name; expected quarter found; expected year found
Atwater Fund I – Media Buyout Permira Fund VI – Direct Lending,,"buyout, direct lending",,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,Atwater Fund I – Media Buyout Permira Fund VI – Direct Lending | SLR Perpetual BDC – Institutional Non-Traded BDC | Q2,65,real fund name; expected quarter found; expected year found
Clearlake Capital Partners VIII – Distressed Special Situations River Stone Decarb I – ESG Growth,,"buyout, distressed, growth",,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,Clearlake Capital Partners VIII – Distressed Special Situations River Stone Decarb I – ESG Growth | Haveli Gaming II – Gaming Tech Buyout,65,real fund name; expected quarter found; expected year found
Haveli Software II – Software Tech Buyout,,buyout,,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,Q2 | Haveli Software II – Software Tech Buyout,65,real fund name; expected quarter found; expected year found
Frazier Structured Solutions Fund I - Healthcare,,"credit, direct lending, energy, healthcare",,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,Frazier Structured Solutions Fund I - Healthcare | River Stone Credit Partners III – Energy Direct Lending | Arctos Sports III – Sports Investing,65,real fund name; expected quarter found; expected year found
Kayne Anderson Real Estate KAROD III – Real Estate Opportunistic Debt,,"opportunistic, real estate",,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,Kayne Anderson Real Estate KAROD III – Real Estate Opportunistic Debt,65,real fund name; expected quarter found; expected year found
General Catalyst Creation III – Early-Stage S&M Financing Slate Fund IV – European Real Estate,,"buyout, industrial, real estate",,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,General Catalyst Creation III – Early-Stage S&M Financing Slate Fund IV – European Real Estate | Incline Ascent III – Industrials Small Cap Tech Buyout,65,real fund name; expected quarter found; expected year found
LLR Fund VIII – IT & Healthcare Lower Middle Market Buyout,,"buyout, healthcare",,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,LLR Fund VIII – IT & Healthcare Lower Middle Market Buyout,65,real fund name; expected quarter found; expected year found
Kayne Anderson Real Estate KAREP VII – Opportunistic Real Estate & Core Equity Slate Fund III – Canadian Real Estate,,"buyout, opportunistic, real estate",,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,Kayne Anderson Real Estate KAREP VII – Opportunistic Real Estate & Core Equity Slate Fund III – Canadian Real Estate | STG Allegro II – Enterprise Software Lower Middle Market Tech Buyout,65,real fund name; expected quarter found; expected year found
"Kayne Anderson Real Estate KACORE – Core, Open-End Alternative Real Estate Slate Fund I – Infrastructure Core Plus",,"healthcare, infrastructure, real estate",,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,"Kayne Anderson Real Estate KACORE – Core, Open-End Alternative Real Estate Slate Fund I – Infrastructure Core Plus | Q3 | Frazier Fund XII – Middle Market Healthcare",65,real fund name; expected quarter found; expected year found
AKKR Growth Fund V – Software & Tech Minority Growth Equity,,"growth, healthcare",,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,AKKR Growth Fund V – Software & Tech Minority Growth Equity | Frazier Growth Healthcare Fund I,65,real fund name; expected quarter found; expected year found
Kayne Anderson Real Estate Multifamily I – Multifamily Real Estate,,real estate,,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,Kayne Anderson Real Estate Multifamily I – Multifamily Real Estate | SLR Private Corp Lending III – Institutional Corporate Lending | Q4,65,real fund name; expected quarter found; expected year found
AKKR Strategic Capital II – Software & Tech Secondaries,,secondaries,,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,AKKR Strategic Capital II – Software & Tech Secondaries,65,real fund name; expected quarter found; expected year found
Kennedy Lewis Fund IV – Opportunistic Private Credit,AKKR Strategic Capital II – Software & Tech Secondaries,"buyout, credit, infrastructure, opportunistic, private credit",,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,Kennedy Lewis Fund IV – Opportunistic Private Credit | Tallvine Fund I – Middle Market Infrastructure | AKKR Capital Partners VIII – Tech Buyout,80,real fund name; manager found; expected quarter found; expected year found
Arlington Fund VIII – Government Sector Middle Market Buyout,AKKR Strategic Capital II – Software & Tech Secondaries,"buyout, direct lending, real estate",,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,Kennedy Lewis Fund I – Direct Lending Commingled BDC | Westbrook EU Fund – European Value Add Real Estate | Francisco Partners Agility IV – Lower Middle Market Tech Buyout | Arlington Fund VIII – Government Sector Middle Market Buyout,80,real fund name; manager found; expected quarter found; expected year found
Permira Fund III – Growth,AKKR Strategic Capital II – Software & Tech Secondaries,growth,,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,Permira Fund III – Growth,80,real fund name; manager found; expected quarter found; expected year found
Littlejohn Fund VII – Distressed Buyouts & Special Situations,AKKR Strategic Capital II – Software & Tech Secondaries,"buyout, distressed, growth, healthcare, industrial, real estate",,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,Littlejohn Fund VII – Distressed Buyouts & Special Situations | Westbrook Japan Fund – Japan Value Add Real Estate | Arsenal Small Cap Fund II – Industrial Growth & Healthcare Lower Middle Market Buyout,80,real fund name; manager found; expected quarter found; expected year found
Westbrook Fund XIII – Global Value Add Real Estate,AKKR Strategic Capital II – Software & Tech Secondaries,real estate,,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,Westbrook Fund XIII – Global Value Add Real Estate,80,real fund name; manager found; expected quarter found; expected year found
Montagu Fund VII – Tech & Healthcare European Middle Market Buyout,AKKR Strategic Capital II – Software & Tech Secondaries,"buyout, direct lending, healthcare",,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,Montagu Fund VII – Tech & Healthcare European Middle Market Buyout | Willow Tree Fund III – Multi-Sector Direct Lending | Q4 | Northlane Fund IV – Healthcare & Business Services Lower Middle Market Buyout,80,real fund name; manager found; expected quarter found; expected year found
Pennybacker Critical Infrastructure Partners II – Value-Add Infrastructure,,infrastructure,,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,Pennybacker Critical Infrastructure Partners II – Value-Add Infrastructure,65,real fund name; expected quarter found; expected year found
"Oceansound Fund III – Government Tech, Enterprise, & Industrial Tech Middle Market Buyout",Pennybacker Critical Infrastructure Partners II – Value-Add Infrastructure,"buyout, direct lending, growth, healthcare, industrial",,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,"Oceansound Fund III – Government Tech, Enterprise, & Industrial Tech Middle Market Buyout | Willow Tree Capital Corporation – Direct Lending BDC | Parthenon Fund VIII – Healthcare, Business , & Financial Services NAM Middle Market Buyout & Growth",80,real fund name; manager found; expected quarter found; expected year found
"Wind Point Fund XI – Consumer, Industrial Products, & Business Services Middle Market Buyout",Pennybacker Critical Infrastructure Partners II – Value-Add Infrastructure,"buyout, climate, consumer, industrial, real estate",,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,"Pennybacker Fund VII – NAM Sunbelt Value Oriented Real Estate | Wind Point Fund XI – Consumer, Industrial Products, & Business Services Middle Market Buyout | Permira Climate Fund I",80,real fund name; manager found; expected quarter found; expected year found
SLR Retail III – Private Credit Income BDC,Pennybacker Critical Infrastructure Partners II – Value-Add Infrastructure,"credit, private credit",,,,Q4 2025,2025.0,Potential future fund,Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,2,SLR Retail III – Private Credit Income BDC,80,real fund name; manager found; expected quarter found; expected year found
Lexar Partners Lexar Partners Fund I 2022 €55 Laren DELTA Equity Partners Delta Equity Partners Technology & Health Fund 2022 €75 Amsterd,,"buyout, growth, healthcare, private equity, technology",80 M,80.0,,,2025.0,Potential future fund,Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf,5,"2026 H1 H2 H1 H2 H1 H2 Lexar Partners Lexar Partners Fund I 2022 €55 Laren DELTA Equity Partners Delta Equity Partners Technology & Health Fund 2022 €75 Amsterdam Torqx Capital Partners Torqx Capital Partners II 2022 €230 Bussum Sofindev Sofindev VI 2022 €250 Diegem Mentha Capital Mentha Capital VII 2022 €264 Amsterdam Freshstream Investment Partners Freshstream II 2021 €762 London Synergia Capital Partners Synergia Capital Fund VI 2022 €200 Veenendaal Forbion Forbion Growth Opportunities Fund II 2022 €616 Naarden IceLake Capital IceLake Capital Fund II 2022 €350 Amsterdam Fortino Capital Fortino Capital Growth PE II 2021 €377 Antwerp VE Partners Value Enhancement Partners Special Situations IV 2023 €140 Amsterdam Capital A Capital A Investment Partners Fund IX 2023 €350 Amsterdam Gilde Healthcare Partners Gilde Healthcare VI 2023 €740 Utrecht Parcom Parcom Fund VII 2023 €960 Amsterdam Quadrum Capital Quadrum Investment Fund IV 2022 €425 Almelo/Woerden Strada Partners Strada Partners Fund I 2023 €200 Antwerp Holland Capital Holland Capital Growth and Buyout V 2024 €225 Amsterdam Main Capital Partners Main Foundation II 2024 €507 The Hague Main Capital Partners Main Capital VIII 2024 €1,933 The Hague Vortex Capital Partners Vortex Capital Partners Buyout Fund IV 2024 €145 Amsterdam Alpha Group Alpha Private Equity Fund 8 2023 €1,500 Luxembourg Vendis Capital Vendis Capital IV 2024 €525 Brussels Forbion Forbion Growth Opportunities Fund III 2024 €1,200 Naarden Rivean Capital Rivean Buyout Fund VII 2023 €1,580 Amsterdam H2 Equity Partners H2 Equity Partners Fund VII 2024 €250 Amsterdam IceLake Capital IceLake Capital Fund III 2024 €700 Amsterdam Egeria Egeria Private Equity Fund VI 2024 €1,250 Amsterdam Gilde Equity Management Benelux GEM Benelux VI 2025 €600 Houten 365 Capital 365 Capital Fund II 2024 €255 Amsterdam VE Partners Value Enhancement Partners Special Situations V 2025 €230 Amsterdam Nyver Nyver Fund I 2025 €335 Amsterdam Bencis Capital Partners Bencis Buyout Fund VII 2025 €625 Amsterdam Fortino Capital Fortino Capital Growth PE III 2025 €700 Antwerp Standard Investment Standard Investment Fund V 2025 €150 Amsterdam Capital A Capital A Investment Partners Fund X 2025 €350** Amsterdam NewPort Capital NewPort Buyout Fund III 2024 €175* Amsterdam M80 M80 Capital Fund II 2024 €250* Brussels Lexar Partners Lexar Partners Fund II 2024 €120* Laren Nobel Capital Partners Nobel Capital Partners Fund III 2025 €100* Amsterdam",80,real fund name; manager found; target size found; expected year found
Fund Manager Fund Vintage Fund Size (m) Fund Manager,,,,,,,2025.0,Potential future fund,Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf,5,Fund Manager Fund Vintage Fund Size (m) Fund Manager | HQ | Pre- 2024 H1 | 2024 2025 2026 Post-H2,60,real fund name; manager found; expected year found
Intersaction Intersaction Fund IV €150* Blaricum Foreman Capital Foreman Capital Fund III €250* Amsterdam DTE Capital Partners,,"healthcare, private equity",€150,150.0,EUR,,2025.0,Potential future fund,Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf,6,"2026 H1 H2 H1 H2 H1 H2 Intersaction Intersaction Fund IV 2025 €150* Blaricum Foreman Capital Foreman Capital Fund III 2025 €250* Amsterdam DTE Capital Partners DTE Capital Partners Fund I 2025 €300* Amsterdam Strada Partners Strada Partners Fund II 2025 €300* Antwerp Nordian Capital Partners Nordian Fund IV 2025 €350-400* Amsterdam Gilde Healthcare Partners Gilde Healthcare Private Equity V 2026 €750* Utrecht Sofindev Sofindev VII 2022** €250** Brussels Main Capital Partners Main Capital IX & Foundation III 2026 €4,500* The Hague Quadrum Capital Quadrum Investment Fund V 2026 €500-600* Almelo/Woerden Bolster Investment Partners Bolster Investments III Cooperatief U.A. 2021** €300-350* Amsterdam Mentha Capital Mentha Capital VIII 2022** €264** Amsterdam Torqx Capital Partners Torqx Capital Partners III 2022** €230** Bussum IceLake Capital IceLake Capital Fund IV 2024** €700** Amsterdam Avedon Capital Partners Avedon V 2020** €612** Amsterdam",80,real fund name; manager found; target size found; expected year found
Fund Manager Fund Vintage Fund Size (m) Fund Manager,,,,,,,2025.0,Potential future fund,Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf,6,Fund Manager Fund Vintage Fund Size (m) Fund Manager | HQ | Pre- 2024 H1 | 2024 2025 2026 Post-H2,60,real fund name; manager found; expected year found
PINOVA Capital PINOVA Capital Fund 3 2021 €163 Germany SHS Gesellschaft1 SHS VI Healthcare Investments 2022 €270 Germany Gyrus Capital,,"climate, growth, healthcare, private equity",€163,163.0,EUR,,2025.0,Potential future fund,Evercore PFG - DACH Private Equity H1 2026 Market Map.pdf,5,"2026 H2 H1 H2 H1 H2 H1 H2 PINOVA Capital PINOVA Capital Fund 3 2021 €163 Germany SHS Gesellschaft1 SHS VI Healthcare Investments 2022 €270 Germany Gyrus Capital Gyrus Capital II 2023 €310 Switzerland EOS Capital Partners EOS Fund II 2023 €300 Germany BID Equity BID Equity Fund III 2023 €310 Germany CONSTELLATION CAPITAL Constellation VI 2022 €88 Switzerland Maguar Capital Maguar Capital II 2022 €306 Germany Maxburg Capital Partners Maxburg Beteiligungen IV 2022 €450 Germany Vidia Equity Vidia Climate Fund I 2023 €415 Germany Beyond Capital Partners Beyond Capital Partners III 2023 €181 Germany Eevolve eevolve Partnership 2023 €372 Switzerland Elvaston Capital Management Elvaston Capital Fund VI 2023 €825 Germany BU Bregal Unternehmerkapital (""BU"") Bregal Unternehmerkapital IV 2023 €2,650 Switzerland Armira Partners Armira Growth Fund I 2024 €200 Germany LEA Partners LEA Mittelstandspartner III 2024 €565 Germany Deutsche Beteiligungs DBAG Expansion Capital Fund IV 2023 €250 Germany Castik Capital EPIC III 2023 €2,000 Luxembourg EMERAM Capital Partners EMERAM Private Equity Fund II 2023 €200 Germany Ufenau Capital Partners Ufenau VIII Asset Light 2025 €2,100 Switzerland GREENPEAK Partners GREENPEAK Fund III 2024 €300 Germany SEVEST SEVEST Fund I 2024 €250* Germany Borromin Capital Management Borromin Capital Fund V 2024 €300** Germany Nord Holding Deutsche Mittelstandsholding2 2024 €600* Germany AUCTUS Capital Partners Auctus Fund VI 2025 €250** Germany Endeavour Vision Endeavour Medtech Growth III 2024 CHF375* Switzerland GENUI GENUI III 2024 €600* Germany Swisscanto Switzerland Growth II 2025 CHF250* Switzerland Afinum Management Afinum Fund X 2025 €500* Germany T2Y Capital T2Y Capital Fund I 2025 €200* Germany Capmont Capmont Mid-Cap II 2025 €500* Germany Sophora Unternehmerkapital Sophora Unternehmer-Fonds II 2025 €150* Germany KKA Partners KKA LMM Fund III 2025 €230** Germany Marondo Marondo Small-Cap Growth Fund II 2026 €250* Germany Yttrium Digital Growth Fund III 2026 €500* Germany CGS Management CGS Private Equity Partnership V 2017** CHF240** Switzerland ECM Equity Capital Management German Equity Partners VI 2018** €325** Germany Crosslantic Capital Crosslantic Fund III 2019** €200** Germany Deutsche Beteiligungs DBAG Fund IX 2019** €1,109** Germany Evoco Evoco TSE IV 2020** €162** Switzerland",80,real fund name; manager found; target size found; expected year found
Fund Manager Fund Vintage Fund Size (m) Fund Manager,,,,,,,2025.0,Potential future fund,Evercore PFG - DACH Private Equity H1 2026 Market Map.pdf,5,Fund Manager Fund Vintage Fund Size (m) Fund Manager | HQ | Pre- 2023 H2 | 2023 2024 2025 2026 Post-H2,60,real fund name; manager found; expected year found
Fund Manager Fund Vintage Fund Size (m) Fund Manager,,,,,,,2025.0,Potential future fund,Evercore PFG - DACH Private Equity H1 2026 Market Map.pdf,6,Fund Manager Fund Vintage Fund Size (m) Fund Manager | HQ | Pre- 2023 H2 | 2023 2024 2025 2026 Post-H2,60,real fund name; manager found; expected year found
