source_file,file_hash,file_size_bytes,page_count,processed_at
Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf,a1a92016cf6e71b9a73e51366eca5b728a0b2835c53f2f6757cebf81cd6f6914,693461.0,7.0,2026-06-10T16:23:41
Evercore PFG - DACH Private Equity H1 2026 Market Map.pdf,830c1f34e13a17da9317e91c104de28db0ef1966b2f862bf2dd77ba3aa959504,940185.0,7.0,2026-06-10T16:23:43
Evercore PFG - Global Renewable Energy - H1 2026.pdf,c0637205d2499a23cf7c04bce9d127c870de1e839b7ce3f5daa9b4c87923d1bc,626219.0,10.0,2026-06-10T16:23:43
Evercore PFG - North America Buyout Market Map - H1 2026.pdf,1c1903bb1a2b612aaec5131c3e78864a0a9242a3e86a98836e0e1d3d1fb125ab,4470370.0,36.0,2026-06-10T16:23:50
Evercore PFG - North America Growth Market Map - H1 2026.pdf,afe706edf2b09c95fcdc5802e8af84c69098e7be812bfa77411d8c3cf0713c62,3408236.0,24.0,2026-06-10T16:23:51
Evercore PFG - Southern Europe Private Equity H1 2026 Market Map.pdf,3daf1b4e4d6940aee4c1007e857e71109e51a87702467867483e0e0f99a383eb,701965.0,8.0,2026-06-10T16:23:51
Evercore Private Funds Group - Global Healthcare Market Map - H1 2026.pdf,e0c1f5dfc39bb2eb5ee2e116a975cabf97ee6dd169f45c1230199fbdd54d8c3f,4707177.0,10.0,2026-06-10T16:23:53
Jefferies PFA European Private Equity Market Maps (February 2026).pdf,85c81144e268c48498333e6bf57cc4815964cf3a2a6b8984c9a48c4c6c0c756a,624330.0,15.0,2026-06-10T16:23:55
UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,dd9d06913d66f7560a8cddb4dc6c6a422840451b44efee1dbf22d64b58dd6e7b,4041306.0,113.0,2026-06-10T16:23:57
Petershill Partner Firm Fundraising Schedule (Oct 2025)_vLP.pdf,7a501673db8b70cf8ad6d797558a07e23d9c4ec88f671beb3acd672c6130f205,349787.0,7.0,2026-06-15T09:40:59
